x,y
84.6114,5.095789
39.95294,0.6106226
-23.998804,-0.2744719
-11.99099,-69.57993
-29.808075,14.710182
-50.726837,31.039022
26.017832,62.169884
32.10274,-41.049778
-37.01931,-48.918003
77.59601,3.0595756
-55.069077,-4.1386504
30.955242,45.1259
-2.1199522,-69.36123
-25.680738,22.291063
53.823956,67.57537
30.993649,-6.3458443
-4.9064565,-68.37414
-12.638227,-22.049572
66.449005,27.641573
-23.47633,-1.7399507
66.49991,30.271141
28.144474,2.6676354
-7.3301363,-82.63216
35.12639,40.661755
-38.45897,59.96045
-93.65753,3.6271012
-39.96477,3.679052
4.946609,62.037354
-13.847022,102.84693
-4.9290605,-31.370283
22.447702,36.641026
67.98652,-0.1285635
86.203156,-38.6831
-68.214485,15.364689
-6.517581,13.185528
-7.385551,68.92336
65.607834,54.293873
-58.144894,33.978016
-62.893852,-63.0166
16.678328,-5.6615276
-21.10944,16.11104
-8.895111,-57.245884
-17.682867,64.25607
4.595637,-10.382614
-27.531544,78.34254
-58.741745,-51.371853
-33.565594,-22.215876
-13.82492,5.866193
-23.476303,64.95547
-2.129598,13.361039
18.645193,20.310349
-0.7167431,0.39007768
-13.980101,-84.134674
-69.67958,-2.3198092
-64.50848,57.64566
63.887913,-28.236958
0.8526998,54.12583
-68.233696,13.418442
-12.393584,34.061516
-18.673882,0.13320442
-72.83006,-47.35526
6.952467,-51.942997
44.92161,18.700117
68.99836,28.369347
77.33616,-42.45134
2.976254,30.490337
0.92803216,54.213066
50.737373,41.374836
7.4989076,-14.6568575
-33.46374,-6.514071
-14.987193,-3.8693016
-37.234535,-48.959103
24.222975,-81.2345
-9.808358,4.0612807
68.33731,-29.696882
9.120132,-84.90382
-86.06752,22.429188
-44.312523,-11.97869
-24.900019,38.93494
-27.83318,-3.8483198
16.907806,-40.39756
-61.016083,25.858309
64.55758,52.875183
88.1039,33.42515
87.52936,33.56047
40.74401,20.144772
32.15034,11.008991
-7.148588,-82.76407
55.52008,-28.489082
4.4067583,105.4041
14.488051,9.130766
48.634117,34.28168
-56.492012,-49.763313
-51.798824,-40.417213
30.912222,26.385916
1.5340573,-89.49322
57.7033,-26.214128
-8.1540985,-69.65548
-46.273098,-2.7858236
-22.58297,-61.39939
-9.965616,-3.768019
61.582615,44.333755
41.542835,-53.307396
35.276466,0.5076699
10.594443,28.933977
41.959236,-1.3405259
28.297829,16.442873
47.80734,-62.2136
79.93344,-2.772026
23.12031,-5.5112634
-7.333453,-25.215126
5.3196383,-2.1791492
64.03957,-27.812838
-41.194614,39.440445
-69.92198,3.1720412
-22.655653,-61.357098
9.222251,-66.02803
-29.277443,87.112
63.00845,54.611797
-8.017743,-67.742004
87.07606,-39.18696
6.866441,52.146988
-16.516296,78.44162
35.165756,34.11308
-29.589846,-29.765427
34.246307,-39.742153
24.606255,-28.007381
-63.51552,56.012623
18.682325,20.29142
-2.2472541,34.008347
40.562504,-0.7149411
51.414898,-47.38283
12.185288,34.688957
12.252003,-81.92449
62.16501,44.317253
59.935703,-14.75313
-7.3967075,65.89545
-19.87994,83.60461
17.512657,12.425857
-32.231068,69.160934
-78.63118,-3.9635973
-45.08555,7.7200017
3.7712102,-38.979183
-84.34536,38.01122
16.689669,-40.652782
35.406696,56.70649
-62.261265,36.227497
-39.238,-18.678408
10.018281,5.6833515
8.260425,-50.418995
-63.566536,48.5583
46.988914,47.386906
7.7184057,13.161316
17.335543,-56.1574
10.288542,66.026886
77.36061,-43.13466
-2.1268134,85.50307
-39.549446,74.74103
71.65292,-22.245682
-1.1148319,2.5908365
48.16657,17.495642
-40.602596,3.5740142
20.282776,38.298386
83.42239,-10.942322
12.452008,-9.700025
26.63619,-31.826279
54.827633,-34.31665
52.215607,31.004375
-66.32396,-8.1433525
5.1227636,-2.3595912
-21.628618,70.1358
70.72083,-28.399004
51.510715,-61.72417
66.34072,61.154945
29.817675,68.17074
-2.7352242,-67.29782
-19.348814,78.39468
11.701599,17.27573
25.777723,-83.41082
-20.499477,-73.22717
-2.8461838,38.172756
-24.652119,78.667244
49.096695,-19.485014
-57.724037,25.165071
-54.013336,32.693386
-79.03013,-18.856577
13.949688,34.00731
-61.8478,37.92819
-76.865135,44.88176
-10.7668705,18.700905
-30.476732,-10.682328
-97.54519,15.787647
-89.19833,-17.627882
-46.081398,-2.7533326
-14.241988,102.12269
-17.327219,80.18254
48.5549,42.214878
31.236677,-35.936947
-17.146935,25.97238
26.609167,-72.542274
87.63793,-38.27285
-80.44753,18.701706
-60.613995,-32.038433
3.4012566,-54.218834
-12.78133,46.409447
-29.63173,51.094627
30.263142,-15.777943
44.70825,15.5418625
47.47686,-52.082325
